# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
178,463267,1000012,-1
179,463269,1000020,-1
180,463269,1000008,-1
181,463271,1000020,-1
182,463271,1000008,-1
183,463269,1000012,10
184,463271,1000012,-1
185,463281,1000020,-1
186,463281,1000008,-1
187,463283,1000020,-1
188,463283,1000008,-1
189,463281,1000012,10
190,463283,1000012,-1
194,463285,1000020,-1
194,463287,1000020,-1
195,463285,1000008,-1
195,463287,1000008,-1
196,463285,1000012,-1
196,463287,1000012,-1
197,463289,1000020,-1
198,463289,1000008,-1
199,463291,1000020,-1
200,463291,1000008,-1
201,463289,1000012,10
202,463291,1000012,-1
203,463303,1000020,-1
204,463303,1000008,-1
205,463303,1000012,-1
206,463295,1000020,-1
207,463295,1000008,-1
210,463295,1000012,10
212,463309,1000020,-1
213,463309,1000008,-1
214,463311,1000020,-1
215,463311,1000008,-1
216,463309,1000012,10
217,463311,1000012,-1
220,463319,1000020,-1
221,463319,1000008,-1
223,463319,1000012,-1
224,463323,1000020,-1
224,463325,1000020,-1
225,463323,1000008,-1
225,463325,1000008,-1
228,463323,1000012,10
228,463325,1000012,10
233,463339,1000020,-1
233,463341,1000020,-1
234,463339,1000008,-1
234,463341,1000008,-1
235,463339,1000012,-1
235,463341,1000012,-1
239,463315,1000020,-1
239,463317,1000020,-1
240,463315,1000008,-1
240,463317,1000008,-1
241,463315,1000012,10
241,463317,1000012,10
242,463315,1000012,-1
242,463317,1000012,-1
243,463379,1000020,-1
243,463381,1000020,-1
243,463383,1000020,-1
243,463385,1000020,-1
244,463379,1000008,-1
244,463381,1000008,-1
244,463383,1000008,-1
244,463385,1000008,-1
245,463387,1000020,-1
246,463387,1000008,-1
247,463379,1000012,10
247,463381,1000012,10
247,463383,1000012,10
247,463385,1000012,10
248,463387,1000012,-1
249,463347,1000020,-1
249,463349,1000020,-1
249,463351,1000020,-1
249,463353,1000020,-1
250,463347,1000008,-1
250,463349,1000008,-1
250,463351,1000008,-1
250,463353,1000008,-1
251,463355,1000020,-1
252,463355,1000008,-1
253,463347,1000012,10
253,463349,1000012,10
253,463351,1000012,10
253,463353,1000012,10
254,463355,1000012,-1
255,463361,1000020,-1
255,463363,1000020,-1
255,463365,1000020,-1
255,463367,1000020,-1
255,463369,1000020,-1
256,463361,1000008,-1
256,463363,1000008,-1
256,463365,1000008,-1
256,463367,1000008,-1
256,463369,1000008,-1
259,463361,1000012,10
259,463363,1000012,10
259,463365,1000012,10
259,463367,1000012,10
259,463369,1000012,10
285,463429,1000020,-1
285,463431,1000020,-1
285,463433,1000020,-1
